Seoul, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ASeoul%20%28ICN%20-%20Incheon%20Intl.%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A2%2F6%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A13%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A14%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A15%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A16%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A17%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A18%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A25%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A18%2F3%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A1%2F4%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Tokyo, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A2%2F15%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Tokyo, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A2%2F16%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Tokyo, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A2%2F17%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Tokyo, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A2%2F18%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Paris, Vancouver,  https://www.expedia.com/Flights-Search?leg1=from%3AParis%20%28CDG%20-%20Roissy-Charles%20de%20Gaulle%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A2%2F15%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A13%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A14%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A15%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A16%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A17%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A18%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A25%2F2%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A18%2F3%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A1%2F4%2F2022TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
